,title,id,year,imdbid,rating,lgbtq_keywords_num,keywords_num
60,Sandow No. 2,9673,1894,2161519,0,0,4
61,Sandow No. 3,9674,1894,2161521,0,0,4
62,Reve au coin du feu,9681,1894,0413219,0,0,1
63,Miss Jerry,9779,1894,0000009,0,0,7
64,Tables Turned on the Gardener,5444,1895,0000014,0,0,7
65,"Execution of Mary, Queen of Scots, The",6200,1895,0132134,0,0,9
66,Akrobatisches Potpourri,9679,1895,0000011,1,0,9
67,Annabelle Serpentine Dance,9683,1895,0154152,0,0,17
68,Italienischer Bauerntanz,9714,1895,0000017,0,0,4
69,Baby&#39;s Dinner,9715,1895,0000029,1,0,17
70,Billy Edwards and the Unknown,9766,1895,0477266,0,0,5
71,Blacksmith Scene,9767,1895,0000022,0,0,9
72,Barque sortant du port,9787,1895,0000016,0,0,3
73,"House of the Devil, The",4982,1896,0000091,0,0,33
74,Une nuit terrible,5406,1896,0000131,0,0,21
75,La fee aux choux,5445,1896,0223341,0,0,1
76,"Arrival of a Train, The",6199,1896,0000012,0,0,6
77,Sandow,9672,1896,1428455,0,0,6
78,Alger: rue Bab-Azoun,9949,1896,1672718,0,0,3
79,Lassage des boeufs pour le labour,9950,1896,1736599,0,0,3
80,Lancement d&#39;un navire,9901,1896,0222137,0,0,6
81,Bataille de neige,9328,1897,0000041,0,0,6
82,Four Heads Are Better Than One,4978,1898,0135696,0,0,11
83,"Astronomer&#39;s Dream; or, The Man in the Moon, The",5410,1898,0000211,0,0,21
84,"Temptation of St. Anthony, The",5411,1898,0224240,0,0,0
85,A Turn of the Century Illusionist,4994,1899,0000246,0,0,1
86,Cinderella,5914,1899,0000230,3,0,19
87,Sherlock Holmes Baffled,1594,1900,0291476,0,0,10
88,"Enchanted Drawing, The",4271,1900,0000300,0,0,22
89,Grandma&#39;s Reading Glass,4343,1900,0000304,0,0,13
90,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),4344,1900,0000272,0,0,9
91,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),4345,1900,0257654,0,0,15
92,Hamlet ( Le Duel d&#39;Hamlet),4346,1900,0000306,0,0,9
93,"One-Man Band, The",4993,1900,0135453,0,0,13
94,Grandma Threading Her Needle,5069,1900,0377995,0,0,0
95,"Searching Ruins on Broadway, Galveston, for Dead Bodies",5072,1900,0230746,0,0,3
96,Let Me Dream Again,5438,1900,0000313,0,0,5
97,"Doctor and the Monkey, The",5446,1900,0227438,0,0,2
98,L&#39;homme a la tete en caoutchouc,4995,1901,0000359,0,0,6
99,Reve et realite,5437,1901,0258104,0,0,18
100,Bluebeard,5500,1901,0131934,0,0,62
101,Le voyage dans la lune,1252,1902,0000417,0,0,140
102,Gulliver&#39;s Travels,5431,1902,0229024,0,0,7
103,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",5432,1902,0367177,0,0,0
104,Mephistopheles&#39; School of Magic,5443,1902,0000413,0,0,2
105,"Great Train Robbery, The",1319,1903,0000439,0,0,48
106,"Infernal Boiling Pot, The",5002,1903,0135180,0,0,12
107,"Music Lover, The",5063,1903,0000455,0,0,8
108,"Monster, The",5064,1903,0223755,0,0,8
109,"Enchanted Well, The",5683,1903,0189498,0,0,1
110,"Cook in Trouble, The",5224,1904,0215664,0,0,58
111,"Living Playing Cards, The",5404,1904,0135179,0,0,13
112,"Untamable Whiskers, The",5601,1904,0135631,0,0,11
113,Le voyage a travers l&#39;impossible,6135,1904,0000499,0,0,26
114,"Scheming Gambler&#39;s Paradise, The",5003,1905,0135690,0,0,52
115,"Black Imp, The",5602,1905,0215575,0,0,10
116,"Story of the Kelly Gang, The",1349,1906,0000574,1,0,41
117,"Mysterious Retort, The",5024,1906,0216016,0,0,49
118,Humorous Phases of Funny Faces,5435,1906,0000554,0,0,51
119,"Hilarious Posters, The",5603,1906,0135122,0,0,51
120,"400 Tricks of the Devil, The",5684,1906,0000567,0,0,56
121,A Funny Shave,6206,1906,0449172,0,0,10
122,"Consequence of Feminism, The",7215,1906,1260944,0,0,16
123,"Eclipse: Courtship of the Sun and Moon, The",5223,1907,0215737,0,2,12
124,Good Glue Sticks,5615,1907,0215817,0,0,44
125,Unusual Cooking,6231,1908,1802750,0,0,0
126,"Princess Nicotine; or, The Smoke Fairy",4409,1909,0001009,2,0,16
127,"Devilish Tenant, The",5635,1909,0127948,0,0,10
128,Le barometre de la fidelite,6211,1909,0277596,1,0,0
129,Tilly the Tomboy Visits the Poor,1464,1910,0232821,3,0,0
130,Mobilier fidele,4983,1910,0486978,0,0,3
131,A Trip to Mars,5685,1910,1515725,0,0,18
132,Cleopatra,2003,1912,0002101,2,0,23
133,"Invaders, The",2005,1912,0002281,0,0,30
134,Max and the Donkey,5357,1912,0277865,0,0,1
135,"Voyage of the Bourrichon Family, The",5364,1913,0003512,0,0,3
136,Suspense,5915,1913,0003424,0,0,74
137,A Florida Enchantment,4457,1914,0003973,2,4,28
138,"Birth of a Nation, The",1258,1915,0004972,2,0,167
139,Gretchen the Greenhorn,2008,1916,0006745,3,0,32
140,Lady Windermere&#39;s Fan,2014,1916,0279914,3,0,7
141,"Vagabond, The",5368,1916,0007507,0,0,54
142,Intolerance: Love&#39;s Struggle Throughout the Ages,5944,1916,0006864,0,0,132
143,Snow White,7004,1916,0007361,3,0,25
144,A Tale of Two Cities,1981,1917,0008652,3,0,20
145,Rebecca of Sunnybrook Farm,1993,1917,0008499,3,0,6
146,"Poor Little Rich Girl, The",1994,1917,0008443,3,0,24
147,A Romance of the Redwoods,2015,1917,0008519,0,0,19
148,"Raffles, the Amateur Cracksman",2019,1917,0008489,2,0,7
149,Tarzan of the Apes,1996,1918,0009682,3,0,48
150,Stella Maris,2007,1918,0009652,3,0,32
151,Are Crooks Dishonest?,5441,1918,0008844,0,0,7
152,Ich mochte kein Mann sein,7108,1918,0010281,3,0,10
153,When the Clouds Roll by,2018,1919,0010879,3,0,31
154,Broken Blossoms or The Yellow Man and the Girl,2588,1919,0009968,0,0,69
155,"Cabinet of Dr. Caligari, The",1306,1920,0010323,0,0,141
156,Pollyanna,1991,1920,0011588,3,0,18
157,Within Our Gates,5948,1920,0011870,3,0,34
158,Orphans of the Storm,1263,1921,0012532,3,0,26
159,"Kid, The",3945,1921,0012349,0,0,152
160,"Blot, The",4204,1921,0011979,3,0,56
161,K&ouml;rkarlen (The Phantom Carriage),5898,1921,0012364,2,0,57
162,"Nosferatu, eine Symphonie des Grauens",1307,1922,0013442,2,0,283
163,"Phantom, The",1631,1922,0013496,2,0,40
164,Nathan der Weise,1778,1922,0013428,2,0,6
165,"Man from Beyond, The",2001,1922,0013367,1,0,14
166,H&auml;xan: Witchcraft Through the Ages,3800,1922,0013257,3,0,83
167,"Paleface, The",5361,1922,0012543,0,0,62
168,Nanook of the North,5901,1922,0013427,1,0,36
169,Foolish Wives,5958,1922,0013140,3,0,19
170,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",5967,1922,0013086,3,0,94
171,Safety Last!,1961,1923,0014429,0,0,57
172,Why Worry?,1967,1923,0014611,0,0,19
173,"Silent Command, The",1998,1923,0014469,2,0,4
174,La souriante Madame Beudet,5888,1923,0013626,3,0,18
175,Our Hospitality,5949,1923,0014341,0,0,12
176,A Woman of Paris,8947,1923,0014624,2,0,18
177,Die Nibelungen,1337,1924,0015175,2,0,85
178,Kriemhild&#39;s Revenge,1338,1924,0015174,2,0,82
179,"Thief of Bagdad, The",1264,1924,0015400,0,0,17
180,Wild Oranges,1960,1924,0015498,0,0,52
181,"Navigator, The",2009,1924,0015163,0,0,19
182,Sherlock Jr.,2011,1924,0015324,0,0,83
183,Girl Shy,2016,1924,0014945,0,0,41
184,Manhandled,2020,1924,0015116,3,0,1
185,"Great White Silence, The",2413,1924,1764657,0,0,41
186,Help!,6209,1924,0013845,0,0,2
187,Greed,8458,1924,0015881,3,0,387
188,"Phantom of the Opera, The",1305,1925,0016220,2,0,61
189,Battleship Potemkin,1308,1925,0015648,0,0,53
190,"Gold Rush, The",1309,1925,0015864,0,0,71
191,Go West,1978,1925,0015863,0,0,19
192,"Freshman, The",2012,1925,0015841,0,0,51
193,Seven Chances,3077,1925,0016332,0,0,49
194,"Lost World, The",5514,1925,0016039,2,0,98
195,"Big Parade, The",5962,1925,0015624,2,0,26
196,Stachka,5991,1925,0015361,0,0,41
197,"Temptress, The",1334,1926,0017449,1,0,58
198,Flesh and the Devil,1260,1926,0016884,1,0,6
199,"General, The",1310,1926,0017925,0,0,299
200,For Heaven&#39;s Sake,1966,1926,0016895,0,0,17
201,So&#39;s Your Old Man,3217,1926,0017410,3,0,3
202,Die Abenteuer des Prinzen Achmed,5974,1926,0015532,1,0,62
203,It,1227,1927,0018033,3,0,56
204,Metropolis,1267,1927,0017136,1,0,246
205,Abel Gance&#39;s Napoleon,1312,1927,0018192,2,0,87
206,"Unknown, The",1311,1927,0018528,0,0,25
207,Sunrise: A Song of Two Humans,1632,1927,0018455,2,0,65
208,"Kid Brother, The",1964,1927,0018051,0,0,28
209,Nevada,1982,1927,0018199,0,0,1
210,My Best Girl,2010,1927,0018183,3,0,16
211,Wings,3118,1927,0018578,1,4,73
212,"Jazz Singer, The",5975,1927,0018037,1,0,68
213,Downhill [When Boys Leave Home],7324,1927,0017825,1,2,74
214,"Passion of Joan of Arc, The",1314,1928,0019254,0,0,70
215,Speedy,1963,1928,0019412,0,0,49
216,"Circus, The",1968,1928,0018773,0,0,160
217,"Cameraman, The",1970,1928,0018742,0,0,83
218,"Steamboat Bill, Jr.",1971,1928,0019421,0,0,38
219,"Racket, The",1972,1928,0019304,0,0,27
220,Beggars of Life,1977,1928,0018684,0,0,18
221,"Power of the Press, The",1979,1928,0019290,1,0,24
222,A Girl in Every Port,1980,1928,0018937,0,0,13
223,"Patsy, The",2013,1928,0019258,3,0,24
224,While the City Sleeps,2017,1928,0019571,2,0,1
225,"Man Who Laughs, The",2021,1928,0019130,2,0,95
226,"Crowd, The",5912,1928,0018806,1,0,76
227,"Docks of New York, The",5984,1928,0018839,2,0,82
228,Our Dancing Daughters,9314,1928,0019237,2,0,45
229,Un chien andalou,1313,1929,0020530,0,0,60
230,"Cocoanuts, The",1953,1929,0019777,2,0,79
231,Welcome Danger,1962,1929,0020572,0,0,23
232,Pandora&#39;s Box (Die B&uuml;chse der Pandora),2324,1929,0018737,3,3,122
233,Man with a Movie Camera,3897,1929,0019760,0,0,55
234,Blackmail,5979,1929,0019702,2,0,74
235,Throw of the Dice,6046,1929,0020286,0,0,1
236,Juno and the Paycock [The Shame of Mary Boyle],7287,1929,0021015,3,0,64
237,Broadway Melody,8464,1929,0019729,3,0,77
238,"Blue Angel, The",1315,1930,0020697,1,0,67
239,All Quiet on the Western Front,1316,1930,0020629,0,0,197
240,Anna Christie,1326,1930,0020641,3,0,42
241,Ladies of Leisure,3713,1930,0021040,3,0,45
242,L&#39;Age d&#39;Or,3871,1930,0021577,0,0,97
243,Morocco,3865,1930,0021156,1,0,80
244,Min and Bill,3927,1930,0021148,3,0,60
245,Be Yourself,4253,1930,0020670,2,0,1
246,"Bat Whispers, The",6782,1930,0020668,3,0,17
247,Murder!,7291,1930,0021165,3,0,68
248,Animal Crackers,8463,1930,0020640,3,0,71
249,M,610,1931,0022100,3,0,152
250,M&auml;dchen in Uniform,628,1931,0022183,3,1,34
251,Night Nurse,636,1931,0022208,3,0,55
252,Frankenstein,1317,1931,0021884,1,0,154
253,Anna Christie,1327,1931,0020642,3,0,13
254,Mata Hari,1333,1931,0023196,3,0,41
255,Tabu: A Story of the South Seas,1633,1931,0022458,0,0,53
256,Indiscreet,1828,1931,0022000,3,0,33
257,"Last Flight, The",1956,1931,0022054,0,0,75
258,Pardon Us,1974,1931,0022251,0,0,30
259,Dracula,1985,1931,0021814,2,0,160
260,Monkey Business,2384,1931,0022158,1,0,36
261,City Lights,2705,1931,0021749,3,0,109
262,"Smiling Lieutenant, The",4243,1931,0022074,2,0,36
263,"Cheat, The",5741,1931,0021735,3,0,14
264,"Public Enemy, The",5934,1931,0022286,3,0,116
265,La Chienne,6030,1931,0021739,3,0,171
266,A Nous la Liberte,6031,1931,0022599,1,0,173
267,Little Caesar,6043,1931,0021079,1,0,80
268,"Skin Game, The",7294,1931,0022395,3,0,87
269,Rich and Strange [East of Shanghai],7296,1931,0023395,2,0,69
270,Dracula,8213,1931,0021815,3,0,24
271,Cimarron,8467,1931,0021746,3,0,84
272,Hyppolit a lakaj,8557,1931,0021985,1,0,7
273,Skippy,9095,1931,0022397,3,0,31
274,"Champ, The",9110,1931,0021730,1,0,36
275,I Am a Fugitive from a Chain Gang,1318,1932,0023042,1,0,46
276,Grand Hotel,1328,1932,0022958,3,0,67
277,"Age of Consent, The",1983,1932,0022614,2,0,21
278,Horse Feathers,2383,1932,0023027,1,0,32
279,White Zombie,2550,1932,0023694,0,0,37
280,Boudu Saved from Drowning,2767,1932,0022718,1,0,41
281,"I Was Born, But...",3530,1932,0023634,1,0,80
282,"Most Dangerous Game, The",3658,1932,0023238,0,0,88
283,Freaks,3659,1932,0022913,2,0,82
284,Island of Lost Souls,3844,1932,0024188,1,0,41
285,"Old Dark House, The",4775,1932,0023293,3,0,79
286,Merrily We Go to Hell,5742,1932,0023213,3,0,30
287,"Girl from Calgary, The",5783,1932,0022940,2,0,0
288,Vampyr,5910,1932,0023649,3,0,73
289,Shanghai Express,5929,1932,0023458,3,0,38
290,Three on a Match,6051,1932,0023590,3,0,137
291,Love Me Tonight,6052,1932,0023158,2,0,28
292,Scarface,6063,1932,0023427,1,0,73
293,Red-Headed Woman,6092,1932,0023385,3,0,30
294,"Death Kiss, The",6176,1932,0023935,1,0,48
295,Thirteen Women,6852,1932,0023582,3,0,44
296,"Blue Light (Das Blaue Licht), The",6990,1932,0022694,1,0,27
297,Number 17,7301,1932,0023285,0,0,101
298,Footlight Parade,802,1933,0024028,3,0,72
299,Queen Christina,1330,1933,0024481,3,0,83
300,"Private Life of Henry VIII., The",1248,1933,0024473,1,0,100
301,King Kong,2229,1933,0024216,0,0,297
302,Little Women,2231,1933,0024264,3,0,105
303,Alice in Wonderland,3188,1933,0023753,3,0,68
304,"Vampire Bat, The",3210,1933,0024727,3,0,65
305,42nd Street,4335,1933,0024034,3,0,67
306,Day of Reckoning,5029,1933,0023932,3,0,40
307,Duck Soup,5185,1933,0023969,1,0,169
308,Tomorrow at Seven,5752,1933,0024679,3,0,46
309,Gold Diggers of 1933,5916,1933,0024069,3,0,45
310,Female,6056,1933,0024008,3,0,19
311,A Study in Scarlet,6193,1933,0024625,3,0,31
312,"Peanut Vendor, The",6205,1933,0024432,0,0,1
313,"Invisible Man, The",7450,1933,0024184,1,0,249
314,Baby Face,7528,1933,0023775,3,0,136
315,Design for Living,8346,1933,0023940,1,0,37
316,Cavalcade,8477,1933,0023876,3,0,134
317,It Happened One Night,621,1934,0025316,3,0,195
318,"Cat&#39;s-Paw, The",1324,1934,0024961,1,0,17
319,"Scarlet Empress, The",1325,1934,0025746,3,0,212
320,"Painted Veil, The",1329,1934,0025617,1,0,72
321,"Count of Monte Cristo, The",1246,1934,0025004,1,0,97
322,Cleopatra,1270,1934,0024991,1,0,125
323,Of Human Bondage,1379,1934,0025586,1,0,58
324,L&#39;atalante,1795,1934,0024844,0,0,58
325,"Lost Patrol, The",1969,1934,0025423,0,0,62
326,Spitfire,4443,1934,0025822,3,0,28
327,Maniac,4702,1934,0025465,3,0,75
328,Anne of Green Gables,5319,1934,0024831,3,0,37
329,Lost in the Stratosphere,5523,1934,0025424,2,0,66
330,Search for Beauty,5821,1934,0025755,3,0,77
331,Evelyn Prentice,6772,1934,0025091,3,0,87
332,"Man Who Knew Too Much, The",7304,1934,0025452,3,0,135
333,Imitation of Life,7999,1934,0025301,3,0,32
334,Mystery Liner,8653,1934,0025543,0,0,8
335,Top Hat,595,1935,0027125,2,0,75
336,"39 Steps, The",1242,1935,0026029,3,0,113
337,Anna Karenina,1261,1935,0026071,2,0,26
338,Mutiny on the Bounty,1361,1935,0026752,1,0,71
339,Naughty Marietta,1685,1935,0026768,3,0,58
340,Roberta,2362,1935,0026942,3,0,5
341,Magnificent Obsession,2756,1935,0026667,3,0,6
342,A Night At The Opera,3881,1935,0026778,1,0,195
343,"Bride of Frankenstein, The",3891,1935,0026138,3,0,170
344,"Lady in Scarlet, The",5750,1935,0026599,2,0,48
345,"Riverside Murder, The",5913,1935,0026939,2,0,3
346,Mad Love,7998,1935,0026663,2,0,79
347,Swing Time,596,1936,0028333,1,0,89
348,Modern Times,1323,1936,0027977,0,0,114
349,"Charge of the Light Brigade, The",1237,1936,0027438,1,0,85
350,San Francisco,1359,1936,0028216,1,0,82
351,Wife vs. Secretary,1360,1936,0028505,2,0,54
352,"Petrified Forest, The",1369,1936,0028096,3,0,91
353,Mr. Deeds Goes to Town,1992,1936,0027996,3,0,205
354,Born to Dance,2363,1936,0027387,3,0,2
355,Revolt of the Zombies,2554,1936,0028174,0,0,67
356,Earthworm Tractors,2699,1936,0027562,1,0,27
357,Osaka Elegy,2853,1936,0028021,3,0,134
358,Theodora Goes Wild,3280,1936,0028355,3,0,204
359,"Great Ziegfeld, The",3401,1936,0027698,3,0,50
360,"Mandarin Mystery, The",3548,1936,0029207,3,1,51
361,"Only Son, The",3560,1936,0027752,3,0,27
362,Camille,3598,1936,0028683,3,0,63
363,Pennies from Heaven,4010,1936,0028092,3,0,101
364,Romeo and Juliet,4069,1936,0028203,3,0,92
365,Bullets or Ballots,4143,1936,0027407,3,0,88
366,My Man Godfrey,5852,1936,0028010,2,0,86
367,Sabotage,5926,1936,0028212,3,0,109
368,Fury,6096,1936,0027652,2,0,266
369,Murder at Glen Athol,6174,1936,0028000,3,0,31
370,Il caso Valdemar,6210,1936,3427056,0,0,72
371,These Three,7227,1936,0028356,2,0,53
372,Secret Agent,7308,1936,0028231,3,0,88
373,Dracula&#39;s Daughter,7992,1936,0027545,3,1,55
374,Shall We Dance,597,1937,0029546,1,0,60
375,Stage Door,631,1937,0029604,3,0,234
376,Stella Dallas,795,1937,0029608,3,0,45
377,Conquest,1332,1937,0028739,2,0,17
378,Topper,1335,1937,0029682,2,0,58
379,Lost Horizon,1336,1937,0029162,2,0,70
380,"Prisoner of Zenda, The",1240,1937,0029442,1,0,35
381,Knight Without Armor,1244,1937,0029087,2,0,107
382,Parnell,1358,1937,0029377,2,0,40
383,Snow White and the Seven Dwarfs,1976,1937,0029583,3,0,281
384,A Day at the Races,2382,1937,0028772,2,0,98
385,Nothing Sacred,3968,1937,0029322,0,0,169
386,Make Way for Tomorrow,4255,1937,0029192,3,0,37
387,Murder at the Baskervilles (Silver Blaze),5617,1937,0029565,1,0,12
388,Pepe le Moko,5740,1937,0029453,2,0,157
389,"Awful Truth, The",6554,1937,0028597,3,0,62
390,"Girl Was Young, The",7317,1937,0029811,3,0,151
391,Marked Woman,7877,1937,0029217,3,0,101
392,"Bizarre, Bizarre",8473,1937,0027552,3,0,47
393,"Life of Emile Zola, The",8478,1937,0029146,1,0,138
394,Carefree,594,1938,0029971,2,0,48
395,"Lady Vanishes, The",620,1938,0030341,3,0,243
396,Holiday,994,1938,0030241,3,0,55
397,"Dawn Patrol, The",1238,1938,0030044,0,0,55
398,Jezebel,1367,1938,0030287,2,0,74
399,"Sisters, The",1378,1938,0030755,2,0,71
400,Boys Town,2467,1938,0029942,0,0,61
401,"Mr. Wong, Detective",2590,1938,0030473,1,0,28
402,"Adventures of Robin Hood, The",3103,1938,0029843,2,0,219
403,Bluebeard&#39;s Eighth Wife,3283,1938,0029929,2,0,17
404,Bringing Up Baby,3400,1938,0029947,3,0,116
405,Four Daughters,3951,1938,0030149,3,0,18
406,"Mad Miss Manton, The",4495,1938,0030396,3,0,27
407,"Baker&#39;s Wife, The",6042,1938,0030127,1,0,86
408,Angels with Dirty Faces,7290,1938,0029870,1,0,82
409,"Wizard of Oz, The",174,1939,0032138,3,2,304
410,Gone with the Wind,291,1939,0031381,3,0,494
411,Dodge City,383,1939,0031235,2,0,104
412,"Women, The",588,1939,0032143,3,0,147
413,Stagecoach,593,1939,0031971,3,0,63
414,Wuthering Heights,1239,1939,0032145,2,0,70
415,"Goodbye, Mr. Chips",1245,1939,0031385,2,0,80
416,Ninotchka,1259,1939,0031725,3,0,86
417,Juarez,1368,1939,0031516,2,0,97
418,Dark Victory,1370,1939,0031210,3,0,53
419,Essex and Elizabeth,1371,1939,0031826,2,0,120
420,Young Mr. Lincoln,1382,1939,0032155,2,0,69
421,Jesse James,1383,1939,0031507,2,0,132
422,Drums Along the Mohawk,1384,1939,0031252,2,0,194
423,"Story of Alexander Graham Bell, The",1385,1939,0031981,2,0,35
424,"Flying Deuces, The",1973,1939,0031322,0,0,58
425,"Hunchback of Notre Dame, The",2086,1939,0031455,0,0,376
426,At the Circus,2372,1939,0031060,2,0,82
427,"Gorilla, The",2555,1939,0031387,3,0,12
428,Mr. Wong in Chinatown,2622,1939,0031680,1,0,44
429,Of Mice and Men,2851,1939,0031742,1,0,156
430,"Rules of the Game, The",3089,1939,0031885,3,0,50
431,Babes in Arms,3723,1939,0031066,3,0,27
432,Destry Rides Again,5634,1939,0031225,3,0,140
433,Nancy Drew... Reporter,5763,1939,0031709,3,0,125
434,"Adventures of Sherlock Holmes, The",5863,1939,0031022,3,0,140
435,Mr. Smith Goes to Washington,5946,1939,0031679,2,0,114
436,Jamaica Inn,7322,1939,0031505,3,0,60
437,Le jour se l&egrave;ve,8098,1939,0031514,2,0,173
438,Gulliver&#39;s Travels,8511,1939,0031397,0,0,70
439,Love Affair,9038,1939,0031593,3,0,165
440,Pinocchio,478,1940,0032910,1,0,257
441,Rebecca,618,1940,0032976,3,2,217
442,"Thief of Bagdad, The",1265,1940,0033152,0,0,74
443,"Mortal Storm, The",1501,1940,0032811,3,0,156
444,Comrade X,1355,1940,0032349,2,0,74
445,Boom Town,1356,1940,0032273,1,0,145
446,Strange Cargo,1357,1940,0033105,0,0,74
447,"Return of Frank James, The",1366,1940,0032983,0,0,71
448,"All This, and Heaven Too",1373,1940,0032194,2,0,151
449,"Letter, The",1380,1940,0032701,2,0,99
450,"Grapes of Wrath, The",1387,1940,0032551,3,0,164
451,A Chump at Oxford,1975,1940,0032339,0,0,59
452,"Ape, The",2556,1940,0032215,3,0,11
453,Santa Fe Trail,2678,1940,0033021,1,0,112
454,His Girl Friday,3033,1940,0032599,3,0,107
455,"Sea Hawk, The",3050,1940,0033028,3,0,46
456,"Great Dictator, The",3470,1940,0032553,3,0,121
457,Pride and Prejudice,4257,1940,0032943,3,0,82
458,Primrose Path,4354,1940,0032946,3,0,29
459,Chamber of Horrors / Door with the Seven Locks,4363,1940,0032406,2,0,48
460,"Dance, Girl, Dance",4415,1940,0032376,3,0,101
461,"Philadelphia Story, The",4943,1940,0032904,3,0,95
462,Fantasia,5039,1940,0032455,0,0,270
463,Anne Of Windy Poplars,5320,1940,0032211,3,0,14
464,Gaslight,5773,1940,0031359,3,0,73
465,"Last Alarm, The",5802,1940,0032690,3,0,41
466,Foreign Correspondent,7311,1940,0032484,1,0,306
467,"Shop Around the Corner, The",7861,1940,0033045,3,0,107
468,Knute Rockne All American,8480,1940,0032676,1,0,51
469,Two-Faced Woman,1331,1941,0034328,2,0,2
470,"Shanghai Gesture, The",1512,1941,0034175,3,0,48
471,"Maltese Falcon, The",1230,1941,0033870,1,0,145
472,Citizen Kane,1266,1941,0033467,1,0,490
473,Dumbo,1117,1941,0033563,2,0,212
474,"Little Foxes, The",1372,1941,0033836,2,0,29
475,"Lady Eve, The",1386,1941,0033804,2,0,178
476,"Devil and Miss Jones, The",1682,1941,0033533,3,0,46
477,Mr. Bug Goes to Town,1941,1941,0033727,1,0,41
478,High Sierra,2410,1941,0033717,1,0,141
479,"Wolf Man, The",2436,1941,0034398,2,0,141
480,Cheers for Miss Bishop,2446,1941,0033459,3,0,11
481,Men of Boys Town,2468,1941,0033902,1,0,46
482,49th Parallel,2867,1941,0033627,0,0,71
483,Buck Privates,2906,1941,0033436,3,0,23
484,Hold That Ghost,2910,1941,0033723,3,0,54
